,authorB,authorA,time
240,111.0,207.0,1111014057.0
241,27.0,207.0,1111014057.0
242,29.0,207.0,1111014057.0
243,606.0,207.0,1111014057.0
244,609.0,111.0,1111014057.0
245,195.0,111.0,1111014057.0
246,166.0,111.0,1111014057.0
247,7.0,111.0,1111014057.0
248,552.0,111.0,1111014057.0
249,40.0,111.0,1111014057.0
250,586.0,111.0,1111014057.0
251,394.0,111.0,1111014057.0
252,77.0,111.0,1111014057.0
253,110.0,111.0,1111014057.0
254,207.0,111.0,1111014057.0
255,27.0,111.0,1111014057.0
256,29.0,111.0,1111014057.0
257,606.0,111.0,1111014057.0
258,609.0,27.0,1111014057.0
259,195.0,27.0,1111014057.0
260,166.0,27.0,1111014057.0
261,7.0,27.0,1111014057.0
262,552.0,27.0,1111014057.0
263,40.0,27.0,1111014057.0
264,586.0,27.0,1111014057.0
265,394.0,27.0,1111014057.0
266,77.0,27.0,1111014057.0
267,110.0,27.0,1111014057.0
268,207.0,27.0,1111014057.0
269,111.0,27.0,1111014057.0
270,29.0,27.0,1111014057.0
271,606.0,27.0,1111014057.0
272,609.0,29.0,1111014057.0
273,195.0,29.0,1111014057.0
274,166.0,29.0,1111014057.0
275,7.0,29.0,1111014057.0
276,552.0,29.0,1111014057.0
277,40.0,29.0,1111014057.0
278,586.0,29.0,1111014057.0
279,394.0,29.0,1111014057.0
280,77.0,29.0,1111014057.0
281,110.0,29.0,1111014057.0
282,207.0,29.0,1111014057.0
283,111.0,29.0,1111014057.0
284,27.0,29.0,1111014057.0
285,606.0,29.0,1111014057.0
286,609.0,606.0,1111014057.0
287,195.0,606.0,1111014057.0
288,166.0,606.0,1111014057.0
289,7.0,606.0,1111014057.0
290,552.0,606.0,1111014057.0
291,40.0,606.0,1111014057.0
292,586.0,606.0,1111014057.0
293,394.0,606.0,1111014057.0
294,77.0,606.0,1111014057.0
295,110.0,606.0,1111014057.0
296,207.0,606.0,1111014057.0
297,111.0,606.0,1111014057.0
298,27.0,606.0,1111014057.0
299,29.0,606.0,1111014057.0
300,198.0,77.0,1110959507.0
301,463.0,77.0,1110959507.0
302,77.0,198.0,1110959507.0
303,463.0,198.0,1110959507.0
304,77.0,463.0,1110959507.0
305,198.0,463.0,1110959507.0
306,0.0,40.0,1110961640.0
307,7.0,40.0,1110961640.0
308,207.0,40.0,1110961640.0
309,40.0,0.0,1110961640.0
310,7.0,0.0,1110961640.0
311,207.0,0.0,1110961640.0
312,40.0,7.0,1110961640.0
313,0.0,7.0,1110961640.0
314,207.0,7.0,1110961640.0
